indicator_id,country_code,year,value
1,AUT,2000,2269.0
2,AUT,2000,2707.0
3,AUT,2000,6.83
4,AUT,2000,1683.0
5,AUT,2000,13.38
6,AUT,2000,2008.0
7,AUT,2000,25.84
8,AUT,2000,586.0
9,AUT,2000,74.16
10,AUT,2000,699.0
11,AUT,2000,0.0
12,AUT,2000,0.0
13,AUT,2000,0.0
15,AUT,2000,17.82
16,AUT,2000,404.0
17,AUT,2000,483.0
1,BEL,2000,1849.91601563
2,BEL,2000,2225.60762273579
3,BEL,2000,5.96185923
4,BEL,2000,1378.75932165
5,BEL,2000,12.06895447
6,BEL,2000,1658.76572030388
7,BEL,2000,25.46908569
8,BEL,2000,471.15670196
9,BEL,2000,74.53091431
10,BEL,2000,566.841923627706
15,BEL,2000,20.22722816
16,BEL,2000,374.18673571
17,BEL,2000,449.668674897881
1,BGR,2000,95.0
2,BGR,2000,373.0
3,BGR,2000,3.47
4,BGR,2000,56.0
5,BGR,2000,8.08
6,BGR,2000,222.0
7,BGR,2000,40.46
8,BGR,2000,38.0
9,BGR,2000,59.56
10,BGR,2000,151.0
15,BGR,2000,40.38
16,BGR,2000,38.0
17,BGR,2000,151.0
1,HRV,2000,371.0
2,HRV,2000,811.0
3,HRV,2000,6.51
4,HRV,2000,315.0
5,HRV,2000,11.92
6,HRV,2000,690.0
7,HRV,2000,14.97
8,HRV,2000,56.0
9,HRV,2000,85.03
10,HRV,2000,121.0
15,HRV,2000,13.86
16,HRV,2000,51.0
17,HRV,2000,112.0
1,CYP,2000,751.0
2,CYP,2000,1136.0
3,CYP,2000,2.18
4,CYP,2000,308.0
5,CYP,2000,6.33
6,CYP,2000,467.0
7,CYP,2000,58.39
8,CYP,2000,438.0
9,CYP,2000,41.08
10,CYP,2000,663.0
11,CYP,2000,0.53
12,CYP,2000,4.0
13,CYP,2000,6.0
15,CYP,2000,55.9
16,CYP,2000,420.0
17,CYP,2000,635.0
1,CZE,2000,342.92108154
2,CZE,2000,923.641811465762
3,CZE,2000,5.05704689
4,CZE,2000,304.18500068
5,CZE,2000,12.38046741
6,CZE,2000,819.308026259687
7,CZE,2000,11.29591084
8,CZE,2000,38.73606985
9,CZE,2000,88.70406342
10,CZE,2000,104.333786553011
15,CZE,2000,10.19750404
16,CZE,2000,34.96939805
17,CZE,2000,94.1884328020366
1,DNK,2000,2496.0
2,DNK,2000,2327.0
3,DNK,2000,6.74
4,DNK,2000,2074.0
5,DNK,2000,12.78
6,DNK,2000,1934.0
7,DNK,2000,16.89
8,DNK,2000,422.0
9,DNK,2000,83.11
10,DNK,2000,393.0
11,DNK,2000,0.0
12,DNK,2000,0.0
13,DNK,2000,0.0
15,DNK,2000,15.36
16,DNK,2000,383.0
17,DNK,2000,357.0
1,EST,2000,209.97769165
2,EST,2000,485.691851580971
3,EST,2000,3.92115879
4,EST,2000,159.24748813
5,EST,2000,10.7823925
6,EST,2000,368.349642783034
7,EST,2000,24.15920067
8,EST,2000,50.73020259
9,EST,2000,75.83829498
10,EST,2000,117.342208797938
15,EST,2000,20.33845139
16,EST,2000,42.70728091
17,EST,2000,98.7846769281772
1,FIN,2000,1727.0
2,FIN,2000,1900.0
3,FIN,2000,5.37
4,FIN,2000,1308.0
5,FIN,2000,11.2
6,FIN,2000,1439.0
7,FIN,2000,24.27
8,FIN,2000,419.0
9,FIN,2000,75.73
10,FIN,2000,461.0
11,FIN,2000,0.01
12,FIN,2000,0.0
13,FIN,2000,0.0
15,FIN,2000,21.63
16,FIN,2000,373.0
17,FIN,2000,411.0
1,FRA,2000,2161.85302734
2,FRA,2000,2516.3129113744
3,FRA,2000,6.97070313
4,FRA,2000,1572.29592159
5,FRA,2000,13.49542141
6,FRA,2000,1830.09130643512
7,FRA,2000,27.27091789
8,FRA,2000,589.55716584
9,FRA,2000,72.7290802
10,FRA,2000,686.22161326249
15,FRA,2000,7.27349615
16,FRA,2000,157.24229955
17,FRA,2000,183.02392155301
1,DEU,2000,2344.41088867
2,DEU,2000,2691.50039419867
3,DEU,2000,7.73281384
4,DEU,2000,1833.34293464
5,DEU,2000,16.19174576
6,DEU,2000,2104.76889799693
7,DEU,2000,21.79942131
8,DEU,2000,511.06800567
9,DEU,2000,78.20057678
10,DEU,2000,586.731496201731
15,DEU,2000,12.29070377
16,DEU,2000,288.14460209
17,DEU,2000,327.397310556522
1,GRC,2000,885.41052246
2,GRC,2000,1417.77577334311
3,GRC,2000,4.46309471
4,GRC,2000,545.56033162
5,GRC,2000,9.61341953
6,GRC,2000,873.586010669043
7,GRC,2000,38.38709641
8,GRC,2000,339.85016216
9,GRC,2000,61.62267685
10,GRC,2000,544.189762674069
15,GRC,2000,36.27566147
16,GRC,2000,321.15710512
17,GRC,2000,514.257247080079
1,HUN,2000,313.0
2,HUN,2000,803.0
3,HUN,2000,4.67
4,HUN,2000,216.0
5,HUN,2000,9.86
6,HUN,2000,553.0
7,HUN,2000,31.15
8,HUN,2000,98.0
9,HUN,2000,68.85
10,HUN,2000,250.0
15,HUN,2000,27.36
16,HUN,2000,86.0
17,HUN,2000,219.0
1,IRL,2000,1564.83740234
2,IRL,2000,1795.20906392413
3,IRL,2000,4.57260036
4,IRL,2000,1212.97551135
5,IRL,2000,14.95885372
6,IRL,2000,1391.54692505729
7,IRL,2000,22.48551941
8,IRL,2000,351.86185258
9,IRL,2000,77.51446533
10,IRL,2000,403.662130373474
15,IRL,2000,12.11708832
16,IRL,2000,189.61275396
17,IRL,2000,217.527099480208
1,ITA,2000,1524.0
2,ITA,2000,2049.0
3,ITA,2000,5.5
4,ITA,2000,1107.0
5,ITA,2000,11.81
6,ITA,2000,1489.0
7,ITA,2000,27.36
8,ITA,2000,417.0
9,ITA,2000,72.64
10,ITA,2000,561.0
15,ITA,2000,26.46
16,ITA,2000,403.0
17,ITA,2000,542.0
1,LVA,2000,182.0
2,LVA,2000,434.0
3,LVA,2000,2.76
4,LVA,2000,92.0
5,LVA,2000,7.43
6,LVA,2000,220.0
7,LVA,2000,49.25
8,LVA,2000,89.0
9,LVA,2000,50.75
10,LVA,2000,214.0
15,LVA,2000,47.66
16,LVA,2000,87.0
17,LVA,2000,207.0
1,LTU,2000,217.0
2,LTU,2000,522.0
3,LTU,2000,4.17
4,LTU,2000,146.0
5,LTU,2000,10.57
6,LTU,2000,351.0
7,LTU,2000,32.7
8,LTU,2000,71.0
9,LTU,2000,67.26
10,LTU,2000,171.0
11,LTU,2000,0.04
12,LTU,2000,0.0
13,LTU,2000,0.0
15,LTU,2000,27.15
16,LTU,2000,59.0
17,LTU,2000,142.0
1,LUX,2000,2901.0
2,LUX,2000,3287.0
3,LUX,2000,4.93
4,LUX,2000,2415.0
5,LUX,2000,12.99
6,LUX,2000,2736.0
7,LUX,2000,16.75
8,LUX,2000,486.0
9,LUX,2000,83.25
10,LUX,2000,550.0
15,LUX,2000,14.25
16,LUX,2000,413.0
17,LUX,2000,468.0
1,MLT,2000,647.0
2,MLT,2000,1211.0
3,MLT,2000,4.72
4,MLT,2000,465.0
5,MLT,2000,11.78
6,MLT,2000,869.0
7,MLT,2000,28.21
8,MLT,2000,183.0
9,MLT,2000,71.79
10,MLT,2000,342.0
15,MLT,2000,26.37
16,MLT,2000,171.0
17,MLT,2000,319.0
1,NLD,2000,2028.0
2,NLD,2000,2466.0
3,NLD,2000,5.31
4,NLD,2000,1398.0
5,NLD,2000,12.53
6,NLD,2000,1699.0
7,NLD,2000,30.96
8,NLD,2000,628.0
9,NLD,2000,68.91
10,NLD,2000,764.0
11,NLD,2000,0.13
12,NLD,2000,3.0
13,NLD,2000,3.0
15,NLD,2000,11.03
16,NLD,2000,224.0
17,NLD,2000,272.0
1,POL,2000,238.0
2,POL,2000,564.0
3,POL,2000,3.61
4,POL,2000,162.0
5,POL,2000,8.38
6,POL,2000,385.0
7,POL,2000,31.79
8,POL,2000,76.0
9,POL,2000,68.21
10,POL,2000,179.0
15,POL,2000,31.33
16,POL,2000,75.0
